Task finished: Unit3 | Task4 | Batch10 | 6299.7
Task started: Unit2 | Task5 | Batch10 | 6299.8
Task finished: Unit2 | Task5 | Batch10 | 6341.8
Task started: Unit1 | Task6 | Batch10 | 6341.9
Task finished: Unit1 | Task6 | Batch10 | 6368.9
Task started: Unit2 | Task7 | Batch10 | 6368.9
Task finished: Unit2 | Task7 | Batch10 | 6420.9
Task started: Unit3 | Task8 | Batch10 | 6420.9
Task finished: Unit3 | Task8 | Batch10 | 6517.9
Task started: Unit1 | Task9 | Batch10 | 6518.0
Task finished: Unit1 | Task9 | Batch10 | 6535.0
Batch10 done
Task started: Unit1 | Task1 | Batch11 | 6535.1
Task finished: Unit1 | Task1 | Batch11 | 6562.1
Task started: Unit2 | Task2 | Batch11 | 6562.1
Task finished: Unit2 | Task2 | Batch11 | 6739.1
Task started: Unit1 | Task3 | Batch11 | 6739.2
Task finished: Unit1 | Task3 | Batch11 | 6801.2
Task started: Unit3 | Task4 | Batch11 | 6801.2
Task finished: Unit3 | Task4 | Batch11 | 6953.2
Task started: Unit2 | Task5 | Batch11 | 6953.3
Task finished: Unit2 | Task5 | Batch11 | 6995.3
Task started: Unit1 | Task6 | Batch11 | 6995.4
Task finished: Unit1 | Task6 | Batch11 | 7022.4
Task started: Unit2 | Task7 | Batch11 | 7022.4
Task finished: Unit2 | Task7 | Batch11 | 7074.4
Task started: Unit3 | Task8 | Batch11 | 7074.4
Task finished: Unit3 | Task8 | Batch11 | 7171.4
Task started: Unit1 | Task9 | Batch11 | 7171.5
Task finished: Unit1 | Task9 | Batch11 | 7188.5
Batch11 done
Task started: Unit1 | Task1 | Batch12 | 7188.6
Task finished: Unit1 | Task1 | Batch12 | 7215.6
Task started: Unit2 | Task2 | Batch12 | 7215.6
Task finished: Unit2 | Task2 | Batch12 | 7392.6
Task started: Unit1 | Task3 | Batch12 | 7392.7
Task finished: Unit1 | Task3 | Batch12 | 7454.7
Task started: Unit3 | Task4 | Batch12 | 7454.7
Task finished: Unit3 | Task4 | Batch12 | 7606.7
Task started: Unit2 | Task5 | Batch12 | 7606.8
Task finished: Unit2 | Task5 | Batch12 | 7648.8
Task started: Unit1 | Task6 | Batch12 | 7648.9
Task finished: Unit1 | Task6 | Batch12 | 7675.9
Task started: Unit2 | Task7 | Batch12 | 7675.9
Task finished: Unit2 | Task7 | Batch12 | 7727.9
Task started: Unit3 | Task8 | Batch12 | 7727.9
Task finished: Unit3 | Task8 | Batch12 | 7824.9
Task started: Unit1 | Task9 | Batch12 | 7825.0
Task finished: Unit1 | Task9 | Batch12 | 7842.0
Batch12 done
Task started: Unit1 | Task1 | Batch13 | 7842.1
Task finished: Unit1 | Task1 | Batch13 | 7869.1
Task started: Unit2 | Task2 | Batch13 | 7869.1
Task finished: Unit2 | Task2 | Batch13 | 8046.1
Task started: Unit1 | Task3 | Batch13 | 8046.2
Task finished: Unit1 | Task3 | Batch13 | 8108.2
Task started: Unit3 | Task4 | Batch13 | 8108.2
Task finished: Unit3 | Task4 | Batch13 | 8260.2
Task started: Unit2 | Task5 | Batch13 | 8260.3
Task finished: Unit2 | Task5 | Batch13 | 8302.3
Task started: Unit1 | Task6 | Batch13 | 8302.4
Task finished: Unit1 | Task6 | Batch13 | 8329.4
Task started: Unit2 | Task7 | Batch13 | 8329.4
Task finished: Unit2 | Task7 | Batch13 | 8381.4
Task started: Unit3 | Task8 | Batch13 | 8381.4
Task finished: Unit3 | Task8 | Batch13 | 8478.4
Task started: Unit1 | Task9 | Batch13 | 8478.5
Task finished: Unit1 | Task9 | Batch13 | 8495.5
Batch13 done
Task started: Unit1 | Task1 | Batch14 | 8495.6
Task finished: Unit1 | Task1 | Batch14 | 8522.6
Task started: Unit2 | Task2 | Batch14 | 8522.6
Task finished: Unit2 | Task2 | Batch14 | 8699.6
Task started: Unit1 | Task3 | Batch14 | 8699.7
Task finished: Unit1 | Task3 | Batch14 | 8761.7
Task started: Unit3 | Task4 | Batch14 | 8761.7
Task finished: Unit3 | Task4 | Batch14 | 8913.7
Task started: Unit2 | Task5 | Batch14 | 8913.8
Task finished: Unit2 | Task5 | Batch14 | 8955.8
Task started: Unit1 | Task6 | Batch14 | 8955.9
Task finished: Unit1 | Task6 | Batch14 | 8982.9
Task started: Unit2 | Task7 | Batch14 | 8982.9
Task finished: Unit2 | Task7 | Batch14 | 9034.9
Task started: Unit3 | Task8 | Batch14 | 9034.9
Task finished: Unit3 | Task8 | Batch14 | 9131.9
Task started: Unit1 | Task9 | Batch14 | 9132.0
Task finished: Unit1 | Task9 | Batch14 | 9149.0
Batch14 done
Task started: Unit1 | Task1 | Batch15 | 9149.1
Task finished: Unit1 | Task1 | Batch15 | 9176.1
Task started: Unit2 | Task2 | Batch15 | 9176.1
Task finished: Unit2 | Task2 | Batch15 | 9353.1
Task started: Unit1 | Task3 | Batch15 | 9353.2
