Task finished: Unit1 | Task1 | Batch14 | 2889.2
Task started: Unit1 | Task6 | Batch10 | 2889.2
Task finished: Unit1 | Task6 | Batch10 | 2916.2
Task finished: Unit3 | Task8 | Batch9 | 2917.1
Task started: Unit3 | Task4 | Batch11 | 2917.1
Task started: Unit1 | Task9 | Batch9 | 2917.2
Task finished: Unit1 | Task9 | Batch9 | 2934.2
Batch9 done
Task finished: Unit2 | Task2 | Batch12 | 3039.1
Task started: Unit2 | Task7 | Batch10 | 3039.1
Task started: Unit1 | Task3 | Batch12 | 3039.2
Task finished: Unit3 | Task4 | Batch11 | 3069.1
Task finished: Unit2 | Task7 | Batch10 | 3091.1
Task started: Unit2 | Task5 | Batch11 | 3091.1
Task started: Unit3 | Task8 | Batch10 | 3091.1
Task finished: Unit1 | Task3 | Batch12 | 3101.2
Task finished: Unit2 | Task5 | Batch11 | 3133.1
Task started: Unit2 | Task2 | Batch13 | 3133.1
Task started: Unit1 | Task1 | Batch15 | 3133.2
Task finished: Unit1 | Task1 | Batch15 | 3160.2
Task started: Unit1 | Task6 | Batch11 | 3160.2
Task finished: Unit1 | Task6 | Batch11 | 3187.2
Task finished: Unit3 | Task8 | Batch10 | 3188.1
Task started: Unit3 | Task4 | Batch12 | 3188.1
Task started: Unit1 | Task9 | Batch10 | 3188.2
Task finished: Unit1 | Task9 | Batch10 | 3205.2
Batch10 done
Task finished: Unit2 | Task2 | Batch13 | 3310.1
Task started: Unit2 | Task7 | Batch11 | 3310.1
Task started: Unit1 | Task3 | Batch13 | 3310.2
Task finished: Unit3 | Task4 | Batch12 | 3340.1
Task finished: Unit2 | Task7 | Batch11 | 3362.1
Task started: Unit2 | Task5 | Batch12 | 3362.1
Task started: Unit3 | Task8 | Batch11 | 3362.1
Task finished: Unit1 | Task3 | Batch13 | 3372.2
Task finished: Unit2 | Task5 | Batch12 | 3404.1
Task started: Unit2 | Task2 | Batch14 | 3404.1
Task started: Unit1 | Task1 | Batch16 | 3404.2
Task finished: Unit1 | Task1 | Batch16 | 3431.2
Task started: Unit1 | Task6 | Batch12 | 3431.2
Task finished: Unit1 | Task6 | Batch12 | 3458.2
Task finished: Unit3 | Task8 | Batch11 | 3459.1
Task started: Unit3 | Task4 | Batch13 | 3459.1
Task started: Unit1 | Task9 | Batch11 | 3459.2
Task finished: Unit1 | Task9 | Batch11 | 3476.2
Batch11 done
Task finished: Unit2 | Task2 | Batch14 | 3581.1
Task started: Unit2 | Task7 | Batch12 | 3581.1
Task started: Unit1 | Task3 | Batch14 | 3581.2
Task finished: Unit3 | Task4 | Batch13 | 3611.1
Task finished: Unit2 | Task7 | Batch12 | 3633.1
Task started: Unit2 | Task5 | Batch13 | 3633.1
Task started: Unit3 | Task8 | Batch12 | 3633.1
Task finished: Unit1 | Task3 | Batch14 | 3643.2
Task finished: Unit2 | Task5 | Batch13 | 3675.1
Task started: Unit2 | Task2 | Batch15 | 3675.1
Task started: Unit1 | Task1 | Batch17 | 3675.2
Task finished: Unit1 | Task1 | Batch17 | 3702.2
Task started: Unit1 | Task6 | Batch13 | 3702.2
Task finished: Unit1 | Task6 | Batch13 | 3729.2
Task finished: Unit3 | Task8 | Batch12 | 3730.1
Task started: Unit3 | Task4 | Batch14 | 3730.1
Task started: Unit1 | Task9 | Batch12 | 3730.2
Task finished: Unit1 | Task9 | Batch12 | 3747.2
Batch12 done
Task finished: Unit2 | Task2 | Batch15 | 3852.1
Task started: Unit2 | Task7 | Batch13 | 3852.1
Task started: Unit1 | Task3 | Batch15 | 3852.2
Task finished: Unit3 | Task4 | Batch14 | 3882.1
Task finished: Unit2 | Task7 | Batch13 | 3904.1
Task started: Unit2 | Task5 | Batch14 | 3904.1
Task started: Unit3 | Task8 | Batch13 | 3904.1
Task finished: Unit1 | Task3 | Batch15 | 3914.2
Task finished: Unit2 | Task5 | Batch14 | 3946.1
Task started: Unit2 | Task2 | Batch16 | 3946.1
Task started: Unit1 | Task1 | Batch18 | 3946.2
Task finished: Unit1 | Task1 | Batch18 | 3973.2
Task started: Unit1 | Task6 | Batch14 | 3973.2
Task finished: Unit1 | Task6 | Batch14 | 4000.2
Task finished: Unit3 | Task8 | Batch13 | 4001.1
Task started: Unit3 | Task4 | Batch15 | 4001.1
Task started: Unit1 | Task9 | Batch13 | 4001.2
Task finished: Unit1 | Task9 | Batch13 | 4018.2
Batch13 done
Task finished: Unit2 | Task2 | Batch16 | 4123.1
Task started: Unit2 | Task7 | Batch14 | 4123.1
Task started: Unit1 | Task3 | Batch16 | 4123.2
Task finished: Unit3 | Task4 | Batch15 | 4153.1
Task finished: Unit2 | Task7 | Batch14 | 4175.1
Task started: Unit2 | Task5 | Batch15 | 4175.1
Task started: Unit3 | Task8 | Batch14 | 4175.1
Task finished: Unit1 | Task3 | Batch16 | 4185.2
Task finished: Unit2 | Task5 | Batch15 | 4217.1
Task started: Unit2 | Task2 | Batch17 | 4217.1
Task started: Unit1 | Task1 | Batch19 | 4217.2
Task finished: Unit1 | Task1 | Batch19 | 4244.2
Task started: Unit1 | Task6 | Batch15 | 4244.2
Task finished: Unit1 | Task6 | Batch15 | 4271.2
Task finished: Unit3 | Task8 | Batch14 | 4272.1
Task started: Unit3 | Task4 | Batch16 | 4272.1
Task started: Unit1 | Task9 | Batch14 | 4272.2
Task finished: Unit1 | Task9 | Batch14 | 4289.2
Batch14 done
Task finished: Unit2 | Task2 | Batch17 | 4394.1
